date,demand
2019-05-19,1940
2019-05-20,1942
2019-05-21,2109
2019-05-22,2175
2019-05-23,2181
2019-05-24,1591
2019-05-25,1620
2019-05-26,1830
2019-05-27,1604
2019-05-28,1819
2019-05-29,2761
2019-05-30,2856
2019-05-31,1830
2019-06-01,2216
2019-06-02,1452
2019-06-03,1221
2019-06-04,1372
2019-06-05,1454
2019-06-06,1553
2019-06-07,2421
2019-06-08,2439
2019-06-09,2445
2019-06-10,2258
2019-06-11,1923
2019-06-12,1492
2019-06-13,1398
2019-06-14,1606
2019-06-15,1658
2019-06-16,1344
2019-06-17,1348
2019-06-18,1368
2019-06-19,1424
2019-06-20,1685
2019-06-21,2019
2019-06-22,2086
2019-06-23,2060
2019-06-24,1672
2019-06-25,1512
2019-06-26,1441
2019-06-27,1545
2019-06-28,1447
2019-06-29,1418
2019-06-30,1844
2019-07-01,1472
2019-07-02,1448
2019-07-03,1393
2019-07-04,1050
2019-07-05,1610
2019-07-06,1488
2019-07-07,1346
2019-07-08,1267
2019-07-09,1920
2019-07-10,1717
2019-07-11,1594
2019-07-12,1380
2019-07-13,1290
2019-07-14,1244
2019-07-15,1229
2019-07-16,1362
2019-07-17,1157
2019-07-18,1341
2019-07-19,1410
2019-07-20,1317
2019-07-21,1261
2019-07-22,1311
2019-07-23,1363
2019-07-24,1651
2019-07-25,1845
2019-07-26,1831
2019-07-27,1319
2019-07-28,1258
2019-07-29,1240
2019-07-30,1498
2019-07-31,1290
2019-08-01,1365
2019-08-02,1639
2019-08-03,1672
2019-08-04,1439
2019-08-05,1672
2019-08-06,1782
2019-08-07,1926
2019-08-08,1473
2019-08-09,1486
2019-08-10,1520
2019-08-11,1440
2019-08-12,1498
2019-08-13,1846
2019-08-14,1829
2019-08-15,1701
2019-08-16,1402
2019-08-17,1388
2019-08-18,1382
2019-08-19,1347
2019-08-20,1595
2019-08-21,1564
2019-08-22,1741
2019-08-23,1718
2019-08-24,1699
2019-08-25,2477
2019-08-26,2914
2019-08-27,2951
2019-08-28,2864
2019-08-29,2148
2019-08-30,1560
2019-08-31,1375
2019-09-01,1474
2019-09-02,1295
