id,title,category,description,duration,start,end,predicted_end,first_seen,labels,location,place_hierarchies,timezone,entities,phq_attendance,rank,local_rank,aviation_rank
EGZLpHXPfnKCMvy5pB,Turtle Bugg,concerts,,0,2020-03-01 04:00:00+00:00,2020-03-01 04:00:00+00:00,,2020-01-17 18:11:31+00:00,"['concert', 'music']","[-87.658807, 41.949796]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'xATJBr2j4AjEKLn8zvAhab', 'name': 'Metro Chicago', 'type': 'venue', 'formatted_address': '3730 North Clark Street\nChicago, IL 60613\nUnited States of America'}]",1099,51,59,0.0
RHPqzGoHcfVdXpdRSY,Dillon Francis,concerts,,0,2020-03-01 04:00:00+00:00,2020-03-01 04:00:00+00:00,,2019-12-12 19:05:38+00:00,"['concert', 'music']","[-87.6426, 41.8527]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'YGGehXM8XyDXqfusXUTuNs', 'name': 'Radius', 'type': 'venue', 'formatted_address': '640 West Cermak Road\nChicago, IL 60616\nUnited States of America'}]",3800,62,74,0.0
4ikSZCbSwHZorH7uJv,Peekaboo,concerts,,0,2020-03-01 03:00:00+00:00,2020-03-01 03:00:00+00:00,,2019-11-04 23:40:50+00:00,"['concert', 'music']","[-87.659963, 41.968718]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'VbQtuFBygFbM9tQUzXF28z', 'name': 'The Riviera Theatre', 'type': 'venue', 'formatted_address': '4746 North Racine Avenue\nChicago, IL 60640\nUnited States of America'}]",2500,58,65,0.0
rE97Gi52cMv7yJSVtQ,Jauz with Habstrakt,concerts,,0,2020-03-01 03:00:00+00:00,2020-03-01 03:00:00+00:00,,2019-10-07 22:13:42+00:00,"['concert', 'music']","[-87.658007, 41.969398]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4896555']]",America/Chicago,"[{'entity_id': '39syfsrdPLGAJF4dDgvgKaU', 'name': 'Aragon Ballroom', 'type': 'venue', 'formatted_address': '1106 West Lawrence Avenue\nChicago, IL 60640\nUnited States of America'}]",4500,63,70,0.0
BcbRkS4imsRhjgkPxk,Think Floyd,concerts,,0,2020-03-01 02:00:00+00:00,2020-03-01 02:00:00+00:00,,2019-11-14 23:00:33+00:00,"['concert', 'music']","[-87.637381, 41.918591]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'kaDsGEPaGAmqVhTWPvJbGz', 'name': 'Park West', 'type': 'venue', 'formatted_address': '322 West Armitage Avenue\nChicago, IL 60614\nUnited States of America'}]",1000,50,58,0.0
hsqmX7Zf3tLhCtMf6e,Aventura with Romeo Santos,concerts,,0,2020-03-01 02:00:00+00:00,2020-03-01 02:00:00+00:00,,2019-12-12 19:05:37+00:00,"['concert', 'music']","[-87.674176, 41.880691]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'Vy5s5Cx4cYAf5uKQNG8hQ9', 'name': 'United Center', 'type': 'venue', 'formatted_address': '1901 West Madison Street\nChicago, IL 60612\nUnited States of America'}]",20917,76,88,0.0
CnxxnQQVFW4TH6HnCu,Lyric Opera w/ Madama Butterfly,performing-arts,,0,2020-03-01 01:30:00+00:00,2020-03-01 01:30:00+00:00,,2019-02-05 04:50:18+00:00,"['entertainment', 'music', 'performing-arts']","[-87.637425, 41.882564]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'abMRZhkUSzaBCGHEBmxyuh', 'name': 'Civic Opera House', 'type': 'venue', 'formatted_address': '20 North Upper Wacker Drive 400\nChicago, IL 60606\nUnited States of America'}]",2230,57,67,
bjiuWkyBR9WNemXDmi,Trinity Irish Dance,performing-arts,,0,2020-03-01 01:30:00+00:00,2020-03-01 01:30:00+00:00,,2019-04-02 03:30:20+00:00,"['entertainment', 'performing-arts']","[-87.625113, 41.875824]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'ZWjCGvqwmQzeS39FCZPcQC', 'name': 'Auditorium Theatre', 'type': 'venue', 'formatted_address': '50 East Ida B. Wells Drive\nChicago, IL 60605\nUnited States of America'}]",2335,57,64,
3TWrKJwPLn9WfAD2rT,Cupcakes,concerts,,0,2020-03-01 01:00:00+00:00,2020-03-01 01:00:00+00:00,,2019-12-12 22:01:27+00:00,"['concert', 'music']","[-87.658807, 41.949796]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4896555'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'xATJBr2j4AjEKLn8zvAhab', 'name': 'Metro Chicago', 'type': 'venue', 'formatted_address': '3730 North Clark Street\nChicago, IL 60613\nUnited States of America'}]",1099,51,59,0.0
3myzYCqUtyA6Kpqiua,All Elite Wrestling,sports,,0,2020-03-01 00:00:00+00:00,2020-03-01 00:00:00+00:00,,2019-12-13 18:16:35+00:00,"['fighting', 'sport', 'wrestling']","[-87.621772, 41.853136]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4906683'], ['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'pxJbsfW5VS6Mbays2U6wym', 'name': 'Wintrust Arena', 'type': 'venue', 'formatted_address': '200 East Cermak Road\nChicago, IL 60616\nUnited States of America'}]",10000,70,81,
4JMjyxcwFHnK7q3h63,Dashboard Confessional with The Get Up Kids,concerts,,0,2020-03-01 00:00:00+00:00,2020-03-01 00:00:00+00:00,,2019-09-17 18:15:43+00:00,"['concert', 'music']","[-87.62913, 41.888233]","[['6295630', '6255149', '6252001', '4896861', '4888671', '4887398']]",America/Chicago,"[{'entity_id': 'AfJwpDskcMhXWJWRjtALNV', 'name': 'House of Blues Chicago', 'type': 'venue', 'formatted_address': '329 North Dearborn Street\nChicago, IL 60654\nUnited States of America'}]",1300,52,60,0.0
