,count,aggregated_impact,community_count,concerts_count,festivals_count,performing-arts_count,sports_count,conferences_count,expos_count,public-holidays_count,school-holidays_count,observances_count,community_impact,concerts_impact,festivals_impact,performing-arts_impact,sports_impact,conferences_impact,expos_impact,public-holidays_impact,school-holidays_impact,observances_impact,rescaled_aei
2017-04-11,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-04-12,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-04-13,1,6000,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0.014962593516209476
2017-04-14,3,85000,0,0,1,0,1,0,1,0,0,0,0,0,6000,0,60000,0,19000,0,0,0,0.21197007481296756
2017-04-15,6,116000,0,1,2,0,2,0,1,0,0,0,0,6000,25000,0,66000,0,19000,0,0,0,0.28927680798004984
2017-04-16,2,38000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19000,0,19000,0,0,0,0.09476309226932668
2017-04-17,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-04-18,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-04-19,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-04-21,1,6000,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0.014962593516209476
2017-04-22,1,6000,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0.014962593516209476
2017-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-04-24,1,6000,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0.014962593516209476
2017-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-04-26,2,25000,0,2,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0.062344139650872814
2017-04-27,1,2000,0,0,1,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0.004987531172069825
2017-04-28,2,21000,0,1,1,0,0,0,0,0,0,0,0,19000,2000,0,0,0,0,0,0,0,0.05236907730673317
2017-04-29,6,125000,0,2,2,0,2,0,0,0,0,0,0,38000,8000,0,79000,0,0,0,0,0,0.3117206982543641
2017-04-30,3,27000,0,2,1,0,0,0,0,0,0,0,0,25000,2000,0,0,0,0,0,0,0,0.06733167082294264
2017-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-05-02,2,25000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19000,6000,0,0,0,0,0.062344139650872814
2017-05-03,3,31000,0,0,0,0,2,1,0,0,0,0,0,0,0,0,25000,6000,0,0,0,0,0.0773067331670823
2017-05-04,3,44000,0,1,0,0,1,1,0,0,0,0,0,19000,0,0,19000,6000,0,0,0,0,0.10972568578553615
2017-05-05,3,31000,0,1,0,0,1,0,1,0,0,0,0,6000,0,0,19000,0,6000,0,0,0,0.0773067331670823
2017-05-06,5,192000,0,1,1,0,2,0,1,0,0,0,0,6000,60000,0,120000,0,6000,0,0,0,0.47880299251870323
2017-05-07,3,31000,0,0,1,0,1,0,1,0,0,0,0,0,6000,0,19000,0,6000,0,0,0,0.0773067331670823
2017-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2017-05-10,2,25000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,19000,6000,0,0,0,0,0.062344139650872814
2017-05-11,2,25000,0,1,0,0,0,1,0,0,0,0,0,19000,0,0,0,6000,0,0,0,0,0.062344139650872814
2017-05-12,1,6000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0.014962593516209476
2017-05-13,1,1900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1900,0,0,0,0,0,0.004738154613466334
2017-05-14,2,66000,0,1,0,0,1,0,0,0,0,0,0,60000,0,0,6000,0,0,0,0,0,0.16458852867830423
2017-05-15,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-05-16,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-05-17,1,19000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19000,0,0,0,0,0,0.04738154613466334
2017-05-18,2,26833,0,0,1,0,1,0,0,0,0,0,0,0,7833,0,19000,0,0,0,0,0,0.06691521197007481
2017-05-19,3,32833,1,0,1,0,1,0,0,0,0,0,6000,0,7833,0,19000,0,0,0,0,0,0.08187780548628429
2017-05-20,6,212833,1,0,2,0,3,0,0,0,0,0,6000,0,67833,0,139000,0,0,0,0,0,0.5307556109725685
2017-05-21,7,151833,0,0,2,0,4,1,0,0,0,0,0,0,67833,0,78000,6000,0,0,0,0,0.3786359102244389
