place_id,name,type,parent_place_id,parent_name,parent_type
5129891,Ontario County,county,5128638,State of New York,region
7117591,City and Borough of Wrangell,county,5879092,Alaska,region
4680335,Chambers County,county,4736286,Texas,region
4350685,Cecil County,county,4361885,Maryland,region
4458491,Cabarrus County,county,4482348,North Carolina,region
4230919,Wilcox County,county,4197000,Georgia,region
4279253,Shawnee County,county,4273857,Kansas,region
4244840,Morgan County,county,4896861,Illinois,region
4629047,Hickman County,county,4662168,Tennessee,region
5812148,Stevens County,county,5815135,Washington,region
4205152,Laurens County,county,4197000,Georgia,region
4431269,Issaquena County,county,4436296,Mississippi,region
5728364,Gilliam County,county,5744337,Oregon,region
4863753,Kossuth County,county,4862182,Iowa,region
4280609,Trego County,county,4273857,Kansas,region
4998067,Keweenaw County,county,5001836,Michigan,region
5368381,Los Angeles County,county,5332921,California,region
4259654,Jefferson County,county,4921868,Indiana,region
5508393,Mineral County,county,5509151,Nevada,region
4158712,Hillsborough County,county,4155751,Florida,region
5403973,Tuolumne County,county,5332921,California,region
4380961,Chariton County,county,4398678,Missouri,region
5579185,Logan County,county,5417618,Colorado,region
4136143,White County,county,4099753,Arkansas,region
5531748,Sterling County,county,4736286,Texas,region
4105838,Clark County,county,4099753,Arkansas,region
4490602,Scotland County,county,4482348,North Carolina,region
4276754,Osage County,county,4273857,Kansas,region
4344544,Vernon Parish,county,4331987,Louisiana,region
4551067,Sequoyah County,county,4544379,Oklahoma,region
5813521,Thurston County,county,5815135,Washington,region
5048685,Stearns County,county,5037779,Minnesota,region
4666265,Weakley County,county,4662168,Tennessee,region
4917555,Allen County,county,4921868,Indiana,region
5588908,Clark County,county,5596512,Idaho,region
4624737,Giles County,county,4662168,Tennessee,region
5177434,Wyandot County,county,5165418,Ohio,region
4450315,Washington County,county,4436296,Mississippi,region
4488575,Rockingham County,county,4482348,North Carolina,region
4200051,Henry County,county,4197000,Georgia,region
5810628,Skamania County,county,5815135,Washington,region
5074642,Otoe County,county,5073708,Nebraska,region
4392606,Johnson County,county,4398678,Missouri,region
4788160,City of Suffolk,county,6254928,Virginia,region
5433658,Otero County,county,5417618,Colorado,region
5392126,San Joaquin County,county,5332921,California,region
4776564,Northumberland County,county,6254928,Virginia,region
5651490,Fallon County,county,5667009,Montana,region
4614466,Coffee County,county,4662168,Tennessee,region
5056253,Mercer County,county,4398678,Missouri,region
4468623,Granville County,county,4482348,North Carolina,region
4264684,Shelby County,county,4921868,Indiana,region
5695796,Grant County,county,5073708,Nebraska,region
5411363,Adams County,county,5417618,Colorado,region
4702735,Kaufman County,county,4736286,Texas,region
4287749,Christian County,county,6254925,Kentucky,region
5188486,Elk County,county,6254927,Pennsylvania,region
7117565,Skagway Municipality,county,5879092,Alaska,region
5598464,Lemhi County,county,5596512,Idaho,region
4453028,Ashe County,county,4482348,North Carolina,region
4983917,Alcona County,county,5001836,Michigan,region
4675728,Bosque County,county,4736286,Texas,region
4274455,Lincoln County,county,4273857,Kansas,region
4707196,Llano County,county,4736286,Texas,region
5427500,Kiowa County,county,5417618,Colorado,region
